Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf
11/10/2021,45,KY,6650315,328800,2834420,3487095,0,148854,174725,191939,886042,5071649,5065963,4785999,1484908,201009,2095299,2773644,1697,113519,133099,138132,197839,5102701,2599466,58.2,2594603,68.2,2442497,70.5,688968,91.8,2287634,51.2,2287475,60.1,2158885,62.3,620858,82.7,193681,908284,1184244,1425,193650,908271,1184132,1422,193550,908048,1055919,1368,37187,282417,300534,720,371200,16.2,370839,17.2,306657,24.9,221632,35.7,138165,228134,4858,43
11/10/2021,45,SD,1423135,77600,581900,763635,0,160868,192810,213185,937068,1072848,1072466,1006420,330669,34541,424638,613532,137,121272,145301,150761,217730,1079952,560367,63.3,559994,75.9,522792,78.3,158930,99.9,473252,53.5,473235,64.1,444871,66.6,135930,89.5,34067,183350,255812,23,34064,183348,255800,23,34041,183287,227520,23,4596,67882,63437,15,77958,16.5,77901,17.5,64921,25.6,48190,35.5,28634,48664,659,1
11/10/2021,45,ID,2595870,135600,1012740,1447530,0,145259,0,193886,893064,1784909,0,1783624,593056,71733,717405,993266,2505,99879,0,133219,204031,1795169,888404,49.7,0,0,885837,66.2,261309,89.9,793956,44.4,0,0,792227,59.2,241997,83.3,70275,305361,417705,615,0,0,0,0,70253,305336,416029,609,11455,111159,119121,262,148313,18.7,148311,18.7,122670,27.6,91707,37.9,51860,95076,1342,35
11/10/2021,45,MT,1565445,92500,656840,816105,0,146471,170602,186320,758316,1239950,1239667,1174214,418461,51376,523167,664051,1356,116016,135099,139756,202706,1237968,615850,57.6,615622,67.1,580389,69.1,186822,90.5,545112,51,545061,59.4,515615,61.4,170798,82.7,48966,222165,273639,342,48960,222146,273613,342,48917,222051,244311,336,9488,81902,79230,178,109865,20.2,109728,21.3,89830,29.6,66835,39.1,41588,66885,1227,165
11/10/2021,45,PA,22186985,1282900,8887840,12016245,0,173309,200216,218217,927022,18286295,18260624,17216748,5616722,697189,7158234,10429562,1310,142839,164784,169333,234679,18293822,10307941,80.5,10283952,92.8,9700287,95.4,3038831,99.9,7852488,61.3,7850777,70.8,7401922,72.8,2192966,91.6,692978,2939602,4219339,569,692908,2939455,4217845,569,692484,2937039,3771871,528,91355,1030100,1071254,257,718556,9.2,717685,9.7,590380,13.9,428329,19.5,269411,442621,6503,21
11/10/2021,45,IL,20181425,1014900,7494620,11671905,0,159262,186213,204806,987721,16788203,16744920,15594178,4266033,578619,6079992,10109541,20051,132485,154505,158253,208788,16977041,8442003,66.6,8415714,77.7,7809547,79.3,1917346,93.8,7742736,61.1,7726032,71.3,7176250,72.8,1770106,86.6,572020,2694031,4470122,6563,571959,2693915,4453596,6562,569474,2686371,3913978,6427,79293,792609,895135,3069,1160631,15,1159414,16.2,909886,24.6,649758,36.7,405087,746507,8631,406
11/10/2021,45,MO,8836355,368700,3481160,4986495,0,143975,168771,185371,832020,6985876,6979784,6581296,2108233,218527,2491776,4273282,2291,113824,133311,138064,198508,6901921,3533519,57.6,3527811,67.4,3313720,69.5,959370,90.3,3080128,50.2,3080051,58.8,2898839,60.8,859105,80.9,217175,1083046,1779403,504,217151,1083033,1779363,504,216933,1082627,1598874,405,38164,390158,430629,154,454887,14.8,454436,15.7,377555,22.9,283794,33,136208,315370,3282,27
11/10/2021,45,NM,3422955,166100,1369300,1887555,0,163244,191501,211164,906489,2920240,2917349,2715792,807780,100331,1187849,1625952,6108,139269,163215,167539,213921,3014175,1535598,73.2,1532698,85.7,1416208,87.4,386058,99.9,1313122,62.6,1313029,73.5,1214445,74.9,335792,88.9,99189,517539,694673,1721,99177,517519,694612,1721,99046,517151,596549,1699,19966,156377,158555,894,230281,17.5,230004,18.9,179572,27.4,121034,36,65778,163208,1264,31
11/10/2021,45,OK,5632820,282500,2418720,2931600,0,142352,169397,187465,886874,4621558,4617424,4340848,1313908,129877,1879416,2611354,911,116795,138861,144467,206872,4574454,2392545,60.5,2388527,71.8,2238397,74.5,624959,98.4,2003393,50.6,2003318,60.2,1878696,62.5,525506,82.7,126902,789932,1086432,127,126887,789914,1086390,127,126811,789672,962099,114,19606,266357,239511,32,280695,14,280427,14.9,234344,22.9,173935,33.1,108208,170249,2226,12
11/10/2021,45,WI,8783485,392800,3361800,5028885,0,150856,175677,192796,863460,7615701,7606601,7158861,2332887,290531,2892224,4431613,1333,130799,152138,157136,229334,7589872,3692451,63.4,3683315,73.7,3447590,75.7,990112,97.3,3420975,58.8,3420769,68.4,3213101,70.5,937843,92.2,278332,1267490,1874685,468,278314,1267474,1874513,468,278132,1267163,1667358,448,29028,451108,457505,202,633907,18.5,633366,19.7,509204,27.9,374745,40,191264,437931,4691,21
11/10/2021,45,OR,7611605,410400,2968100,4233105,0,180467,208665,227132,993578,5815614,5795813,5437529,1599908,238513,2154351,3417498,5252,137885,158887,162257,208843,5813601,2913813,69.1,2900132,79.5,2711880,80.9,719034,93.9,2669300,63.3,2663490,73,2495081,74.5,673317,87.9,229517,952898,1485605,1280,229514,952894,1479806,1276,228709,950064,1315106,1202,50801,304023,317922,571,425134,15.9,424780,17,334820,26.2,253691,37.7,140649,279400,4930,155
